EmployeeID,Age,Gender,Country,JobRole,Department,YearsAtCompany,TeamSize,SalaryRange,WorkHoursPerWeek,RemoteWork,CommuteTime,ScheduleFlexibilityScore,CanAdjustWorkHours,DependentsCount,CareHoursPerWeek,JobSatisfaction,StressLevel,SleepHours,PhysicalActivityHrs,HasMentalHealthSupport,HasTherapyAccess,MentalHealthDaysTaken,ManagerSupportScore,FeelsSafeRaisingConcerns,WorkplaceInclusionScore,ProductivityScore,CareerGrowthScore,WorkLifeBalanceScore,BurnoutRisk
1001,50,Female,Canada,HR,Operations,7,13,Low,52,1,114,4,0,1,29,5,9,6.4,1.1,1,0,10,6,0,9,3,7,10,0
1002,36,Female,India,Manager,HR,29,9,Low,60,1,80,7,0,3,15,6,1,5.3,4.4,1,1,11,5,1,7,4,3,9,0
1003,29,Female,Canada,HR,Tech,20,20,Low,37,0,86,3,0,3,19,8,7,4.9,5.3,0,1,13,2,1,6,10,10,8,1
1004,42,Female,Canada,HR,HR,16,6,Medium,49,0,41,9,1,0,28,6,4,6.8,2.4,0,0,1,9,1,9,6,7,10,0
1005,40,Female,Canada,Designer,HR,8,7,Medium,58,1,36,5,0,2,16,10,10,7.7,0.8,1,0,10,8,0,6,3,8,1,1
1006,44,Female,Germany,Analyst,Operations,19,6,High,36,0,91,3,1,2,18,3,8,5.5,3.5,0,0,8,7,1,4,5,5,5,1
1007,32,Female,India,Manager,Operations,12,6,Medium,38,1,79,2,1,0,25,7,7,6.2,1.3,0,1,1,6,0,7,7,4,7,1
1008,32,Female,India,Analyst,Operations,1,15,High,41,1,75,7,1,2,14,4,1,6.7,0.4,1,1,4,5,0,2,1,2,8,0
1009,45,Female,Germany,HR,Finance,3,18,Medium,41,0,57,7,1,0,24,6,1,8.1,5.3,1,0,10,9,1,2,3,5,7,0
1010,57,Female,UK,Developer,Finance,29,16,High,59,1,84,5,0,1,14,6,1,5.1,5.2,1,1,8,5,1,6,6,6,1,0
1011,45,Female,USA,HR,HR,28,13,Medium,41,0,58,4,1,2,19,5,2,5.4,5.9,1,1,7,6,0,5,10,9,4,0
1012,24,Female,India,Analyst,HR,24,4,Medium,51,1,23,2,1,1,29,1,10,8.2,2.8,1,0,0,3,1,6,2,6,4,1
1013,43,Female,USA,HR,Tech,1,24,Medium,44,1,27,2,1,3,20,8,2,4.7,1.8,1,1,2,9,1,2,8,6,9,0
1014,23,Female,Germany,Developer,Tech,3,16,Medium,42,1,36,7,0,2,34,10,9,7.1,4.6,1,0,9,8,1,2,7,6,6,0
1015,45,Female,UK,Designer,HR,17,9,Medium,50,1,20,10,1,3,5,2,5,7.1,1.1,1,1,13,9,0,1,2,8,6,0
1016,51,Female,UK,Analyst,Finance,4,13,Low,59,1,32,7,1,1,36,4,1,6.0,1.5,1,0,8,1,0,2,5,6,5,0
