age,job_role,department,experience_years,company_type,work_mode,weekly_work_hours,overtime_hours,task_load_score,meeting_hours_per_week,schedule_flexibility,dependents_count,care_responsibility_hours,commute_time_minutes,work_life_balance_score,manager_support_score,team_support_score,mental_health_resources,gender_inclusive_policies,promotion_fairness_score,sleep_hours,stress_level,physical_activity_days,mental_health_days_taken,job_satisfaction,career_growth_score,skill_gap_score,ai_tool_usage_frequency,ai_assistance_type,training_hours_last_6_months,burnout_risk
50,Designer,Operations,17,SME,Onsite,34,8,3,19,6,1,19,119,10,1,2,1,0,6,8.3,6,1,14,8,1,6,2,Scheduling,46,0
36,Developer,HR,26,MNC,Remote,64,9,3,15,5,1,12,90,10,4,5,1,0,7,6.9,1,0,2,9,3,7,5,Wellness,10,0
29,Designer,HR,22,Startup,Remote,48,17,2,19,3,1,23,32,2,8,7,0,0,9,6.7,6,4,2,9,9,6,3,None,18,0
42,Designer,Operations,31,SME,Hybrid,42,3,7,5,2,3,19,34,5,1,7,1,1,1,7,10,3,3,2,1,1,4,None,61,1
40,Designer,Operations,9,Startup,Onsite,34,7,10,8,6,2,27,53,9,6,9,1,1,1,5.3,3,6,12,8,2,4,7,Learning,71,0
44,HR,Tech,10,MNC,Remote,43,17,10,12,4,2,34,55,9,2,3,1,0,2,7.8,5,1,8,8,2,3,4,Scheduling,42,1
32,Developer,Finance,5,Startup,Onsite,51,19,4,6,10,1,20,14,10,9,1,0,0,6,6.5,5,6,8,5,8,5,1,Scheduling,74,0
32,Developer,HR,33,SME,Remote,38,16,1,17,3,0,5,68,1,8,9,0,0,3,4.2,10,7,7,4,6,7,1,Wellness,8,1
45,HR,Finance,16,SME,Hybrid,55,15,6,13,8,3,6,100,7,9,1,0,0,6,4.9,4,2,3,9,7,3,7,Scheduling,24,0
57,Manager,Finance,11,Startup,Onsite,34,17,5,4,9,1,28,3,10,9,8,1,0,2,8.1,3,1,1,4,4,1,3,Learning,88,0
45,Analyst,Operations,20,Startup,Hybrid,58,6,2,12,7,3,22,109,10,2,5,1,1,10,5.7,1,6,11,10,4,9,2,Learning,77,0
24,Developer,Finance,18,Startup,Remote,51,0,6,7,2,1,4,83,3,2,8,0,0,6,7.9,7,7,8,4,4,6,4,Wellness,30,1
43,Analyst,Tech,2,SME,Remote,32,0,1,14,8,3,21,63,10,9,7,0,0,7,7.3,8,4,5,3,6,6,4,Learning,12,0
23,HR,Operations,17,MNC,Hybrid,57,17,3,18,5,0,8,102,10,2,9,0,1,6,5.5,5,0,7,10,4,4,3,Learning,64,0
45,Manager,Finance,18,Startup,Remote,43,3,4,8,10,0,31,21,1,4,2,0,0,2,4.6,8,5,3,3,1,1,2,Wellness,29,0
51,Manager,Operations,5,MNC,Hybrid,43,19,3,5,7,0,9,23,2,2,9,1,1,5,8,4,3,7,3,1,9,5,Learning,72,0
59,Manager,Tech,15,SME,Hybrid,40,19,6,13,5,0,27,46,6,1,10,0,0,10,7.2,8,3,5,7,8,10,0,Learning,28,1
23,HR,Tech,7,Startup,Hybrid,38,3,4,9,2,2,10,74,10,10,5,0,1,6,5.5,3,2,5,5,2,7,5,None,94,0
42,Designer,Finance,17,Startup,Remote,35,5,1,8,4,2,6,109,2,7,5,1,0,8,6.6,8,0,14,9,9,10,2,Wellness,17,0
54,Designer,Operations,11,SME,Onsite,30,2,5,16,5,3,29,5,2,5,1,1,0,9,7.1,6,1,5,2,10,7,0,None,2,0
33,Analyst,Finance,9,Startup,Hybrid,54,5,5,12,6,1,37,26,4,3,6,0,1,5,4,9,1,12,4,8,7,6,Scheduling,34,1
43,Designer,Finance,6,MNC,Onsite,45,12,9,16,5,2,33,9,3,8,10,0,1,7,7.4,5,5,8,2,1,7,6,Wellness,65,1
46,Designer,Operations,0,SME,Remote,44,6,8,18,10,1,27,38,8,5,10,0,0,4,7.3,1,6,0,8,10,8,4,Scheduling,3,0
48,Manager,Finance,20,SME,Remote,63,3,8,12,1,3,31,73,8,1,10,0,1,10,4.4,8,7,0,4,8,8,1,Learning,40,1
49,Manager,Tech,23,Startup,Onsite,46,0,5,8,1,1,15,109,6,9,10,1,0,5,7.9,3,5,4,1,9,3,1,None,78,0
37,Analyst,Operations,24,SME,Hybrid,32,5,8,0,3,0,38,89,4,5,3,0,1,1,8.1,5,6,0,10,4,8,6,Learning,80,0
36,Developer,Operations,6,Startup,Remote,32,4,10,0,9,0,0,36,7,3,10,0,1,3,5.5,2,5,9,3,7,4,3,None,89,0
24,Analyst,Operations,16,Startup,Hybrid,46,12,7,4,2,2,33,53,9,6,3,0,0,2,4.8,7,2,8,7,4,7,6,None,94,1
58,Analyst,Operations,28,SME,Hybrid,30,18,1,7,10,3,22,96,2,8,3,0,0,6,7.4,5,0,3,3,3,5,5,None,29,0
28,HR,Finance,29,Startup,Onsite,36,3,7,17,5,2,19,50,6,2,4,1,1,9,4.6,7,2,1,5,1,4,2,None,86,1
42,HR,Finance,6,MNC,Remote,55,5,8,3,9,2,17,59,7,3,9,0,0,10,8.3,7,7,2,2,2,4,2,Learning,93,0
30,Analyst,Tech,32,MNC,Onsite,48,12,3,0,7,2,17,71,1,7,8,1,1,3,6.4,5,4,8,8,7,6,0,Learning,10,0
39,Analyst,HR,6,Startup,Remote,59,4,9,14,8,3,39,50,6,2,6,0,0,2,8.5,5,4,14,4,6,2,6,Learning,32,0
25,Analyst,HR,23,MNC,Onsite,43,12,8,19,2,0,20,61,8,5,8,0,0,2,7.2,9,1,10,1,8,5,3,None,37,1
46,Designer,Tech,10,Startup,Remote,42,9,2,3,5,0,7,48,7,9,8,0,1,6,5.4,3,4,7,4,3,8,7,Scheduling,4,0
35,HR,HR,8,MNC,Remote,49,2,6,8,9,2,33,50,2,7,1,1,0,10,6.3,8,2,2,8,6,2,7,Learning,58,0
30,Analyst,Tech,11,SME,Remote,55,12,4,19,1,1,10,27,2,3,9,1,1,6,6.6,1,3,12,9,6,5,7,Learning,98,0
47,Manager,Finance,34,Startup,Hybrid,56,11,3,9,1,0,9,111,4,2,1,0,1,5,8.1,4,4,7,1,2,7,2,Wellness,50,1
23,Manager,Operations,3,Startup,Hybrid,54,3,6,14,10,0,7,35,5,10,2,1,0,9,8.3,2,7,3,6,1,5,7,Scheduling,64,0
41,Designer,Operations,27,Startup,Onsite,38,9,10,2,8,3,7,103,5,9,9,1,0,7,7.4,3,6,5,4,2,10,3,Learning,67,0
49,Designer,Finance,12,Startup,Onsite,41,2,9,1,2,0,18,24,2,9,7,0,1,7,5.5,6,2,3,8,9,9,0,Learning,57,1
28,Developer,Operations,22,Startup,Remote,39,16,2,4,9,0,0,35,7,9,10,1,1,1,6.6,4,3,10,1,6,9,5,Wellness,47,0
29,Developer,Operations,18,Startup,Remote,35,8,10,0,10,2,2,76,8,10,1,1,1,10,4.7,1,6,4,5,3,8,4,None,57,0
56,Developer,HR,23,SME,Hybrid,63,0,10,10,9,2,31,59,2,3,3,1,1,10,5.2,5,3,9,1,10,9,3,Scheduling,36,1
35,Designer,Finance,15,SME,Hybrid,48,17,10,11,4,3,15,6,4,1,1,1,1,2,5.5,3,5,14,4,7,2,1,Scheduling,6,1
38,Designer,HR,32,MNC,Hybrid,35,8,5,2,2,3,29,64,3,9,5,1,0,3,4.4,2,6,8,2,1,3,4,Wellness,59,0
57,Designer,HR,11,Startup,Onsite,31,19,6,15,3,1,27,72,4,7,4,0,1,5,8.4,4,5,13,10,8,4,2,Scheduling,58,0
25,Manager,Operations,33,MNC,Hybrid,44,8,4,13,10,0,27,91,5,2,8,0,1,4,4.6,4,4,1,9,10,5,5,Learning,9,0
23,Designer,Operations,6,MNC,Onsite,46,1,7,11,1,2,15,35,6,6,9,0,1,8,7.5,3,0,8,2,7,10,0,Scheduling,32,0
27,Manager,Finance,10,SME,Hybrid,45,18,2,19,3,2,32,109,2,9,4,1,1,4,6.5,5,5,2,4,3,2,0,Wellness,50,0
25,Developer,Operations,30,MNC,Hybrid,57,15,7,15,5,0,24,93,10,8,3,0,1,6,8.2,5,4,4,3,4,10,7,None,77,0
50,Developer,Operations,28,SME,Remote,50,2,2,7,3,3,17,72,6,6,4,1,1,9,7.7,8,4,6,1,7,4,1,Wellness,35,0
39,Developer,Finance,12,MNC,Onsite,37,15,1,16,3,2,25,29,9,6,3,0,1,2,7.8,10,0,12,1,4,4,3,Scheduling,37,1
47,Analyst,Operations,30,Startup,Hybrid,39,12,5,16,10,3,5,98,8,8,6,1,1,8,6.1,7,4,13,2,5,5,1,Wellness,54,0
55,Analyst,HR,1,MNC,Remote,39,2,2,6,6,2,37,46,1,9,1,1,1,5,8.2,9,2,13,8,1,6,3,Wellness,29,0
31,HR,Finance,14,SME,Onsite,39,9,8,14,3,2,2,90,9,8,2,1,1,10,4.5,7,0,11,2,5,1,1,Scheduling,25,1
57,HR,Operations,10,SME,Onsite,38,17,8,8,3,1,5,28,10,1,8,0,0,6,6.2,2,2,13,1,10,6,1,None,94,1
35,HR,Tech,33,SME,Hybrid,57,5,1,3,9,2,13,4,2,2,3,1,0,3,9,3,3,11,6,10,9,0,Learning,41,0
52,Analyst,Finance,3,MNC,Onsite,53,5,4,7,2,0,17,64,1,6,4,0,0,8,8.7,6,0,1,1,4,3,3,Wellness,46,0
36,Analyst,Finance,10,MNC,Remote,48,17,9,9,1,0,15,106,6,8,1,1,1,2,4.4,1,3,13,10,3,2,1,None,18,0
